Territorialidades,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Taxa de analfabetismo - 18 anos ou mais de idade 2010,Renda per capita 2010
Amarante (PI),70,27.8,29.96,284.71
Amargosa (BA),73.4,18.1,22.48,369.84
Amaturá (AM),71.36,21.7,24.66,178.69
Amélia Rodrigues (BA),73.59,17.7,14.13,354.66
América Dourada (BA),70.05,27.2,30.11,186.1
Americana (SP),77.55,10.77,2.85,1161.68
Americano do Brasil (GO),73.77,14.9,16.63,512.95
Américo Brasiliense (SP),76.12,13.1,7.38,659.67
Américo de Campos (SP),74.04,16.2,8.34,686.56
Ametista do Sul (RS),73.54,14.8,12.25,611.2
Amontada (CE),70.63,24.6,28.45,182.47
Amorinópolis (GO),73.79,14.9,19.36,523.25
Amparo de São Francisco (SE),68.66,31.9,25.83,275.32
Amparo do Serra (MG),73.63,17.5,18.03,368.72
Amparo (PB),70.14,27,23.43,225.5
Amparo (SP),77.27,10.6,4.92,1027.6
Ampére (PR),74.45,13.4,8.01,618.76
Anadia (AL),70.35,28.4,39.1,239.53
Anagé (BA),71.27,23.7,36.62,243.52
Anahy (PR),75.66,11.8,12.66,520.88
Anajás (PA),71.43,22.8,36.1,186.88
Anajatuba (MA),70.69,27.2,29.52,207.65
Analândia (SP),76.66,11.4,6.99,823.33
Anamã (AM),69.48,27,17.42,226.82
Ananás (TO),73.23,17.9,21.03,380.36
Ananindeua (PA),74.24,17.17,3.62,564.76
Anápolis (GO),74.33,15.14,6.14,785.17
Anapu (PA),72.25,20.6,20.98,266.28
Anapurus (MA),70.85,26.7,32.27,192.8
Anastácio (MS),72.33,22.8,12.4,495.48
Anaurilândia (MS),74.58,18.5,12.81,538.13
Anchieta (ES),76.35,12.3,7.16,608.42
Anchieta (SC),73.01,16.6,7.72,636.15
Andaraí (BA),70.84,24.9,29.16,230.36
Andirá (PR),75.25,12.4,10.71,587.51
Andorinha (BA),68.88,30.9,27.88,305.81
Andradas (MG),77.69,11.5,8.96,754.39
Andradina (SP),78.07,9.6,6.17,919.36
André da Rocha (RS),75.19,13.3,6.95,792.19
Andrelândia (MG),74.06,16.8,11.52,534.68
Angatuba (SP),74.6,15.4,7.01,597.99
Angelândia (MG),70.36,23.5,28.17,322.8
Angélica (MS),75.34,17.2,12.86,592.27
Angelim (PE),70.08,26.7,35.92,253.26
Angelina (SC),72.82,16.9,11.13,618.55
Angical (BA),71.67,22.6,26.78,266.89
Angical do Piauí (PI),69.2,30.4,26.79,356.17
Angicos (RN),70.34,25.6,28.14,347.65
Angico (TO),71.37,22.7,18.62,288.86
Angra dos Reis (RJ),75.75,12.97,5.43,798.68
Anguera (BA),70.94,24.6,24.36,269
Ângulo (PR),74.62,13.2,12.11,641.37
Anhanguera (GO),73.11,17.8,4,721.84
Anhembi (SP),76.78,12.1,7.06,554.16
Anhumas (SP),75.67,13.7,8.45,561.82
Anicuns (GO),75.01,13.2,11.02,604.97
Anísio de Abreu (PI),71.09,24.6,31.15,221.91
Anita Garibaldi (SC),74.53,14.2,14.3,506.94
Anitápolis (SC),75.17,13.3,11.24,620.8
Anori (AM),70.42,24.3,21.15,229.94
Anta Gorda (RS),77.08,10.1,5.96,810.41
Antas (BA),69.35,29.4,30.25,283.59
Antonina do Norte (CE),71.32,22.7,35.38,244.83
Antonina (PR),75.3,12.3,9.23,572.38
Antônio Almeida (PI),71.85,22.5,26.59,293.53
Antônio Cardoso (BA),71.06,24.3,31.71,236.86
Antônio Carlos (MG),75.3,14.9,12.37,457.02
Antônio Carlos (SC),78.4,9.3,4.39,952.53
Antônio Dias (MG),75.93,13.9,16.95,387.61
Antônio Gonçalves (BA),69.45,29.1,21.32,295.7
Antônio João (MS),72.94,21.6,14.78,411.49
Antônio Martins (RN),70.6,24.9,32.77,251.04
Antônio Olinto (PR),74.49,13.4,7.37,393.68
Antônio Prado de Minas (MG),74.79,15.6,11.63,529.54
Antônio Prado (RS),75.07,13.5,5.11,1004.85
Aparecida de Goiânia (GO),75.01,13.2,5.65,689.3
Aparecida D'Oeste (SP),73.25,17.6,12.77,611.22
Aparecida do Rio Doce (GO),73.84,14.8,13.79,623.58
Aparecida do Rio Negro (TO),72.48,19.8,16.16,320.54
Aparecida do Taboado (MS),73.23,21,10.67,692.79
Aparecida (PB),69.79,28,31.19,271.98
Aparecida (SP),74.67,15.2,3.6,775.17
Aperibé (RJ),72.1,18.4,11.06,516.14
Apiacá (ES),75.45,13.5,16.29,482.94
Apiacás (MT),73.54,17.7,14.56,504.04
Apiaí (SP),75.07,14.6,8.26,492.43
Apicum-Açu (MA),68.1,35.8,20.76,215.17
Apiúna (SC),74.61,14.1,6.27,776.69
Apodi (RN),69.79,27.3,25.59,358.66
Aporá (BA),70.05,27.3,30.24,199.04
Aporé (GO),74.4,14,13.63,595.05
Apuarema (BA),69.09,30.3,33.88,252.3
Apucarana (PR),75.71,12.56,6.27,804.81
Apuí (AM),71.29,21.9,11.64,380.62
Apuiarés (CE),69.44,28.2,29.19,224.63
Aquidabã (SE),69.83,28.1,31.85,282.19
Aquidauana (MS),75.39,17.1,9.15,585.62
Aquiraz (CE),72.27,20.2,22.37,352.6
Arabutã (SC),76.75,11.2,4.28,820.78
Araçagi (PB),69.7,28.3,41.75,230.52
Araçaí (MG),73.28,18.1,11.07,482.4
Aracaju (SE),74.36,15.61,6.93,1052.03
Araçariguama (SP),73.86,16.6,7.18,691.69
Araças (BA),69.65,28.5,25.66,230.75
Aracati (CE),69.52,27.9,22.33,349.26
Aracatu (BA),70.25,26.6,31.77,316.6
Araçatuba (SP),75.46,15.28,4.01,1036.09
Araci (BA),69.79,28,37.37,221.98
Aracitaba (MG),74.37,16.3,13.46,351.6
Aracoiaba (CE),70.56,24.8,32.56,245.24
Araçoiaba da Serra (SP),76.61,12.4,5.17,853.87
Araçoiaba (PE),70.87,24.4,25.94,236.1
Aracruz (ES),75.26,13.7,7.96,695.25
Araçuaí (MG),74.27,16.5,18.83,410.67
Araçu (GO),75.26,12.8,17.47,571.55
Aragarças (GO),74.82,13.4,9.72,600.03
Aragoiânia (GO),75.19,12.9,10.79,560.22
Aragominas (TO),69.36,28.5,25.75,357.45
Araguacema (TO),73.29,17.8,17.86,308.94
Araguaçu (TO),72.78,19,15.5,435.22
Araguaiana (MT),74.01,17,13.42,519.03
Araguaína (TO),74.23,13.06,9.25,737.63
Araguainha (MT),75.61,14.4,15.86,456.43
Araguanã (MA),67.34,38.6,30.26,161.57
Araguanã (TO),70.37,25.5,19.89,372.96
Araguapaz (GO),73.86,14.8,19.05,608.17
Araguari (MG),77.28,11.71,5.05,798.63
Araguatins (TO),72.56,19.6,21.64,342.07
Araioses (MA),67.52,37.9,36.2,175.81
Aral Moreira (MS),72.9,21.7,15.56,398.5
Aramari (BA),70.63,25.5,20.88,274.61
Arambaré (RS),74.98,12.8,7.82,599.72
Arame (MA),67.06,39.6,36.01,210.09
Aramina (SP),76.34,12.8,6.61,721.56
Arandu (SP),73.36,17.4,9.28,535.27
Arantina (MG),75.05,15.2,10.99,411.16
Arapeí (SP),73.72,16.8,8.17,414.19
Arapiraca (AL),71.82,22,24.1,423.28
Arapoema (TO),73.59,17.1,19.12,442.33
Araponga (MG),70.6,23.1,23.99,328.75
Arapongas (PR),75.02,13.33,5.3,855.02
Araporã (MG),73.78,17.3,8.88,536.04
Arapoti (PR),74.39,13.5,8.26,684.8
Arapuá (MG),77.27,12.1,8.51,696.47
Arapuã (PR),74.66,13.2,17.79,424.27
Araputanga (MT),74.56,16.1,11.94,639.18
Araquari (SC),74.82,13.8,6.06,609.76
Araranguá (SC),76.17,12,4.72,827.2
Arara (PB),67.69,35,41.44,276.67
Araraquara (SP),77.64,10.23,3.77,1080.66
Araras (SP),76.55,11.5,4.99,921.76
Ararendá (CE),70.76,24.3,36.61,205.43
Araricá (RS),74.41,13.6,5.25,609.69
Arari (MA),70.82,26.8,23.78,308.83
Araripe (CE),70.54,24.9,36.74,197.14
Araripina (PE),72.12,21,27.04,324.01
Araruama (RJ),75.32,14.18,7.84,680.88
Araruna (PB),70.45,26,42.7,244.02
Araruna (PR),72.08,18.1,10.57,566.78
Arataca (BA),70.46,26,34.35,256.14
Aratiba (RS),76.38,11.7,4.57,1171.7
Aratuba (CE),71.49,22.3,28.12,215.94
Aratuípe (BA),70.2,26.8,26.55,278.23
Arauá (SE),72,21.8,29.98,245.7
Araucária (PR),76.11,12.04,3.81,814.39
Araújos (MG),76.27,13.4,8.58,599.3
Araxá (MG),76.49,13.1,4.43,883.88
Arceburgo (MG),73.61,17.6,11.41,576.68
Arco-Íris (SP),73.52,17.1,16.34,520.01
Arcos (MG),77.43,11.8,5.2,691.16
Arcoverde (PE),72.95,18.9,18.62,469.53
Areado (MG),75.84,14.1,7.67,622.83
Areal (RJ),74.35,15,7.77,571.74
Arealva (SP),75.37,14.2,7.73,697.3
Areia Branca (RN),72.38,20.1,17.34,449.02
Areia Branca (SE),71.38,23.5,26.75,294.32
Areia de Baraúnas (PB),65.81,42,35.02,270.54
Areial (PB),71.75,22.3,28.8,282.18
Areia (PB),70.34,26.3,32.46,319.92
Areias (SP),73.18,17.7,9.17,396.78
Areiópolis (SP),74.37,15.7,11.11,570.09
