Territorialidades,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Taxa de analfabetismo - 18 anos ou mais de idade 2010,Renda per capita 2010
Lagoa de São Francisco (PI),69.6,29.1,37.12,178.26
Lagoa de Velhos (RN),72.36,20.1,28.74,270.76
Lagoa do Barro do Piauí (PI),69.62,29,30.45,152.61
Lagoa do Carro (PE),72.31,20.5,25.33,271.36
Lagoa do Mato (MA),68.58,34.1,36.23,210.29
Lagoa do Ouro (PE),68.99,30.1,43.09,224.13
Lagoa do Piauí (PI),71.7,22.9,28.89,242.33
Lagoa dos Gatos (PE),68.49,31.7,42.14,253.4
Lagoa do Sítio (PI),69.68,28.8,37.94,183.92
Lagoa dos Patos (MG),71.36,21.6,17.42,321.11
Lagoa dos Três Cantos (RS),76.14,11.3,2.31,933.6
Lagoa do Tocantins (TO),70.5,25.1,24.92,235.28
Lagoa Dourada (MG),74.68,15.8,6.27,522.62
Lagoa Formosa (MG),74.91,15.5,11.65,693.25
Lagoa Grande do Maranhão (MA),68.86,33.1,38.68,158.3
Lagoa Grande (MG),73.72,17.4,11.99,543.58
Lagoa Grande (PE),67.28,35.9,26.5,296.99
Lagoa Nova (RN),70.81,24.3,31.46,233.77
Lagoão (RS),74.34,13.6,21.71,432.78
Lagoa (PB),69.81,28,36.37,219.92
Lagoa Real (BA),70.82,25,25.98,223.11
Lagoa Salgada (RN),71.28,23,40.15,247.22
Lagoa Santa (GO),77.1,10.5,7.03,765.86
Lagoa Santa (MG),76.43,13.2,4.94,1089.96
Lagoa Seca (PB),71.15,24,22.88,380.73
Lagoa Vermelha (RS),78.1,9.6,7.81,771.47
Lago da Pedra (MA),68.45,34.6,33.27,263.13
Lago do Junco (MA),69.47,31.1,36.12,226.69
Lago dos Rodrigues (MA),69.22,31.9,32.78,252.89
Lagoinha do Piauí (PI),71.57,23.2,29.26,262.04
Lagoinha (SP),72.82,18.3,11.26,573.28
Lago Verde (MA),68.86,33.1,36.2,188.31
Laguna Carapã (MS),74.34,19,13.26,536.02
Laguna (SC),77.27,10.6,5.88,684.42
Lajeado do Bugre (RS),74.33,13.7,19.72,343.1
Lajeado Grande (SC),76.45,11.6,7.94,850.34
Lajeado Novo (MA),69.29,31.7,20.14,263.2
Lajeado (RS),75.41,12.2,2.8,1130.85
Lajeado (TO),72.89,18.8,10.54,527.21
Laje (BA),70.85,24.9,29.74,241.63
Lajedão (BA),71.68,22.5,25.82,463.94
Lajedinho (BA),70.2,26.8,29.77,205.65
Lajedo do Tabocal (BA),70.85,24.9,31.9,237.39
Laje do Muriaé (RJ),72.97,17,14.67,453.97
Lajedo (PE),70.5,25.4,28.02,333.52
Lajes Pintadas (RN),71.12,23.4,29.46,258.98
Lajes (RN),70.37,25.6,28.95,292.5
Lajinha (MG),73.6,17.6,18.27,482.87
Lamarão (BA),69.79,28,35.38,180.82
Lambari D'Oeste (MT),72.2,20.1,16.84,516.75
Lambari (MG),77.23,12.1,7.96,597.16
Lamim (MG),74.7,15.8,14.18,386.1
Landri Sales (PI),69.25,30.2,28.33,266.01
Lapão (BA),70.27,26.6,22.59,244.43
Lapa (PR),75.9,11.6,6.03,608.6
Laranja da Terra (ES),73.59,16.1,13.98,411.93
Laranjal do Jari (AP),73.06,16.8,12.49,432.92
Laranjal (MG),76.42,13.2,11.26,601.49
Laranjal Paulista (SP),74.73,15.1,4.97,760.58
Laranjal (PR),72.37,16.5,19.84,297.34
Laranjeiras do Sul (PR),75.11,12.6,9.2,659.33
Laranjeiras (SE),71.3,23.8,16.94,313.29
Lassance (MG),72.71,19.1,16.16,364.3
Lastro (PB),69.83,27.9,32.87,219.67
Laurentino (SC),76.28,11.8,4.13,810.58
Lauro de Freitas (BA),74.61,15.13,5.17,1031.78
Lauro Muller (SC),74.32,14.6,5.19,678.67
Lavandeira (TO),71.5,22.3,23.96,330.96
Lavínia (SP),74.17,16,8.36,614.14
Lavras da Mangabeira (CE),71.65,21.8,31.07,288.15
Lavras do Sul (RS),77.05,10.2,9.81,559.67
Lavras (MG),77.8,11.4,4.35,889.65
Lavrinhas (SP),74.38,15.7,6.7,500.59
Leandro Ferreira (MG),77.49,11.8,12.56,649.92
Lebon Régis (SC),73.38,16,12.91,409.05
Leme do Prado (MG),71.73,20.9,18.99,338.71
Leme (SP),76.05,13.2,7.59,746.15
Lençóis (BA),71.51,23,20.16,362.74
Lençóis Paulista (SP),75.19,13.3,5.4,816.48
Leoberto Leal (SC),74.06,14.9,10.99,800.32
Leopoldina (MG),77.04,12.4,7.41,609.5
Leopoldo de Bulhões (GO),73.73,15,14.49,502.85
Leópolis (PR),73.69,14.5,12.32,477.23
Liberato Salzano (RS),73.59,14.7,13.6,551.91
Liberdade (MG),75.01,15.3,15.87,546.79
Licínio de Almeida (BA),71.49,23.1,24.77,299.47
Lidianópolis (PR),73.13,16.4,19.07,477.52
Lima Campos (MA),67.29,38.8,33.17,292.37
Lima Duarte (MG),76.68,12.9,11.7,645.22
Limeira do Oeste (MG),75.04,15.3,13.57,595.92
Limeira (SP),76.11,15.22,4.17,910.85
Limoeiro de Anadia (AL),69.51,31.1,38.29,285.98
Limoeiro do Ajuru (PA),70.21,26.2,16.11,172.12
Limoeiro do Norte (CE),73.22,17.9,20.49,410.03
Limoeiro (PE),72.81,19.2,21.32,398.37
Lindoeste (PR),71.12,19.7,14.85,462.44
Lindóia do Sul (SC),76.89,11.1,5.75,836.32
Lindóia (SP),76.85,12,6.18,714.18
Lindolfo Collor (RS),75.5,12.1,4.02,672.81
Linha Nova (RS),75.73,11.8,2.87,857.79
Linhares (ES),75.05,14,10.28,711.38
Lins (SP),77.13,11.7,4.82,919.53
Livramento de Nossa Senhora (BA),72.6,20.1,22.63,309.16
Livramento (PB),68.94,30.7,24.9,207.73
Lizarda (TO),70.87,24.1,24.24,302.83
Loanda (PR),73.88,14.2,8.81,725.67
Lobato (PR),75.45,12.1,11.81,653.7
Logradouro (PB),71.56,22.8,36.85,236.33
Londrina (PR),75.19,11.73,4.76,1083.35
Lontra (MG),72.61,19.3,24.16,312.77
Lontras (SC),74.2,14.7,5.38,773.05
Lorena (SP),76.35,13.86,3.84,781.28
Loreto (MA),71.27,25.4,24.58,198.73
Lourdes (SP),73.96,16.4,11.24,612
Louveira (SP),76.65,12.3,4.5,1047.17
Lucas do Rio Verde (MT),74.96,15.4,3.45,938.65
Lucélia (SP),75.48,14,6.98,743.2
Lucena (PB),69.03,30.4,27.2,289.29
Lucianópolis (SP),73.55,17.1,8.37,779.84
Luciara (MT),72.29,19.9,14.65,371.24
Lucrécia (RN),72.12,20.7,25.89,388.31
Luís Antônio (SP),74.34,15.8,6.4,661.22
Luisburgo (MG),73.53,17.7,16.07,355.95
Luís Correia (PI),68.77,31.8,32.12,236.9
Luís Domingues (MA),69.05,32.5,21.07,232.06
Luís Eduardo Magalhães (BA),74.53,15.5,7.79,871.12
Luís Gomes (RN),71.56,22.2,31.58,237.26
Luislândia (MG),72.96,18.7,21.44,273.73
Luiz Alves (SC),77.17,10.7,4.7,937.32
Luiziana (PR),71.86,18.4,15.78,482.03
Luiziânia (SP),73.88,16.5,12.86,557.06
Luminárias (MG),74.27,16.5,9.95,474.29
Lunardelli (PR),74.57,13.3,17.21,471.99
Lupércio (SP),74.81,15,11.58,547.3
Lupionópolis (PR),76.38,11,11.78,636.69
Lutécia (SP),75.75,13.6,9.86,516.35
Luzerna (SC),77.59,10.2,2.3,1030.37
Luziânia (GO),74.86,12.25,8.61,580.88
Luzilândia (PI),67,38,37.98,245.02
Luzinópolis (TO),68.54,31.2,19.84,319.83
Luz (MG),75,15.3,8.6,720.88
Macaé (RJ),74.66,13.6,4.44,1103.42
Macaíba (RN),72.04,21,24.09,363.97
Macajuba (BA),71.81,22.2,30.18,197.25
Maçambará (RS),74.89,12.9,10.71,499.71
Macambira (SE),68.66,31.8,33.8,282.4
Macapá (AP),74.19,14.04,6.62,717.88
Macaparana (PE),71.7,22.1,34.15,278.93
Macarani (BA),71.94,21.8,29.85,350.25
Macatuba (SP),76.52,12.5,8.9,920.95
Macaubal (SP),75.64,13.8,8.26,704.61
Macaúbas (BA),72.43,20.6,28.69,255.36
Macau (RN),72.49,19.8,20.03,457.22
Macedônia (SP),76.09,13.1,10.65,644.23
Maceió (AL),72.94,22.02,12.51,792.54
Machacalis (MG),71.96,20.4,25.28,350.63
Machadinho D'Oeste (RO),70.32,25,12.85,401.42
Machadinho (RS),73.39,15,11.21,669.6
Machado (MG),75.9,14,8.59,701.58
Machados (PE),70.99,24,31.19,231.75
Macieira (SC),73.38,16,10.38,533.9
Macuco (RJ),73.03,16.9,8.3,574.96
Macururé (BA),69.9,27.7,27.53,240.32
Madalena (CE),71.65,21.8,28.82,225.22
Madeiro (PI),71.31,24,36.35,150.89
Madre de Deus (BA),72.64,20,5.58,517.74
Madre de Deus de Minas (MG),76.38,13.3,7.29,508.21
Mãe D'Água (PB),67.7,34.9,32.16,202.88
Mãe do Rio (PA),70.75,24.7,19.05,367.01
Maetinga (BA),70.07,27.2,35.67,268.47
Mafra (SC),77.82,10,3.64,789.53
Magalhães Barata (PA),73.06,19.88,11.56,208.43
Magalhães de Almeida (MA),68.72,33.6,33.17,181.73
Magda (SP),74.38,15.7,10.54,725.51
Magé (RJ),74.91,13.34,6.23,567.59
Maiquinique (BA),66.4,39.8,28.81,306.24
Mairi (BA),69.63,28.6,26.1,286.58
Mairinque (SP),74.85,15,5.75,710.18
Mairiporã (SP),77.86,11.95,5.33,944.03
Mairipotaba (GO),76.23,12.9,12.2,842.23
Major Gercino (SC),74.06,14.9,8.13,789.61
Major Isidoro (AL),70.31,28.5,38.7,270.04
Major Sales (RN),71.46,22.5,31.19,282.48
Major Vieira (SC),74.01,15,6.43,465.76
Malacacheta (MG),71.05,22.2,27.59,353.28
Malhada (BA),69.02,30.5,26.8,218.66
Malhada de Pedras (BA),69.83,27.9,28.25,244.02
Malhada dos Bois (SE),68.31,33,25.57,261.05
Malhador (SE),71.87,22.2,26.84,308.04
Mallet (PR),73.54,14.7,3.51,552.86
Malta (PB),73.01,19.1,30.06,378.53
Mamanguape (PB),70.33,26.4,29.98,305.46
Mambaí (GO),73.95,14.6,21.98,357.12
Mamborê (PR),74.24,13.7,11.76,616.46
Mamonas (MG),71.73,20.9,30.65,269.87
Mampituba (RS),73.8,14.4,10.89,456.27
Manacapuru (AM),72.69,17.23,17.11,342.58
Manaíra (PB),66.85,38,37.46,225.93
Manaquiri (AM),69.88,25.8,11.52,254.15
Manari (PE),65.89,41.1,43.54,155.49
Manaus (AM),74.54,14.24,4,790.27
Mâncio Lima (AC),71.17,24.4,26.18,295.5
Mandaguaçu (PR),74.47,13.4,9.41,693.16
Mandaguari (PR),75.39,12.2,7.77,762.54
Mandirituba (PR),73.42,14.9,7.13,539.68
Manduri (SP),74.05,16.2,6.08,750.34
Manfrinópolis (PR),73.31,15.1,15.93,435.85
Manga (MG),72.96,18.7,25.7,387.71
Mangaratiba (RJ),75.71,13.1,4.32,832.15
Mangueirinha (PR),73.67,14.6,10.29,605.97
Manhuaçu (MG),75.35,14.8,9.17,592.99
Manhumirim (MG),75.74,14.2,13.65,547.24
Manicoré (AM),69.83,26,18.27,295.23
Manoel Emídio (PI),70.47,26.4,25.94,222.62
Manoel Ribas (PR),73.36,15,14.68,729.51
Manoel Urbano (AC),71.04,24.7,34.77,307.7
Manoel Viana (RS),70.96,19,10.36,570.72
Manoel Vitorino (BA),69.48,29,30.16,226.95
Mansidão (BA),70.12,27,19.18,182.65
Mantena (MG),73.16,18.3,16.45,505.08
Mantenópolis (ES),73.61,16,19.89,417.83
Maquiné (RS),77.77,9.3,8.07,604.04
Maraã (AM),70.78,23.2,19.38,144.99
Marabá (PA),72.09,21.44,12.18,527.86
Marabá Paulista (SP),73.54,17.1,10.81,457.56
Maracaçumé (MA),68.14,35.6,27.65,239.38
Maracaí (SP),75.97,13.3,8.73,666.65
Maracajá (SC),76.63,11.4,5.75,861.85
Maracaju (MS),77.35,13.9,7.79,819.6
Maracanã (PA),70.85,24.4,13.19,221.89
Maracanaú (CE),72.27,20.2,10.29,372.91
Maracás (BA),69.8,28,26.72,290.11
Maragogi (AL),70.96,26.5,31.82,253.86
Maragogipe (BA),72.58,20.2,24.36,300.1
Maraial (PE),66.85,37.5,37.89,232.31
Marajá do Sena (MA),71.44,25,43.53,96.25
Maranguape (CE),72.27,20.2,16.68,307.81
Maranhãozinho (MA),68.15,35.6,29.59,176.36
Marapanim (PA),70.61,25.1,10.22,277.01
Marapoama (SP),76.14,13,7.26,781.03
Mara Rosa (GO),75.29,12.8,16.88,548.96
Marataízes (ES),75.8,13,10.37,538.07
Maratá (RS),76.74,10.5,3.21,745.31
Maraú (BA),73.08,18.9,27.25,437.51
Marau (RS),76.44,11.6,3.14,980.92
Maravilha (AL),69.54,31,32.53,229.39
Maravilha (SC),78.17,9.5,5.3,896.02
Maravilhas (MG),75.7,14.3,8.49,442.51
Marcação (PB),66.43,39.6,36.19,209.46
Marcelândia (MT),73.79,17.3,12.88,621.76
Marcelino Ramos (RS),75.03,12.7,6.81,777.41
Marcelino Vieira (RN),71.56,22.2,32.19,279.42
Marcionílio Souza (BA),69.24,29.8,33.62,201.52
Marco (CE),69.05,29.4,30.95,266.87
Marcolândia (PI),67.02,37.9,36.44,291.91
Marcos Parente (PI),68.02,34.4,27.09,295.66
Mar de Espanha (MG),74.51,16.1,8.47,598.93
Marechal Cândido Rondon (PR),75.51,12.38,4.04,1036.38
Marechal Deodoro (AL),72.55,21.9,23.44,431.43
Marechal Floriano (ES),75.95,12.8,10.19,683.63
Marechal Thaumaturgo (AC),68.55,32.5,38.36,157.27
Marema (SC),76.7,11.3,8.96,840.58
Maria da Fé (MG),75.53,14.5,8.39,445.11
Maria Helena (PR),75.52,12,15.3,552.13
Marialva (PR),73.84,14.3,7.22,765.58
Mariana (MG),77.43,11.8,6.97,641.84
Mariana Pimentel (RS),76.94,10.3,7.93,628.63
Mariano Moro (RS),75.55,12.8,7.57,925.46
Marianópolis do Tocantins (TO),72.53,19.6,19.36,403.96
Mariápolis (SP),74.78,15.1,8.97,565.58
Maribondo (AL),70.07,29.2,31.95,297.05
Maricá (RJ),75.99,12.02,4.74,910.41
Marilac (MG),71.86,20.6,21.24,354.33
Marilândia do Sul (PR),74.88,12.9,11.21,497.15
Marilândia (ES),74.35,15,12.76,510.91
Marilena (PR),74.69,13.1,13.68,461.09
Marília (SP),76.26,12.81,4.28,953.2
Mariluz (PR),72.65,17.1,18.9,466.87
Maringá (PR),76.1,11.05,3.44,1202.63
Marinópolis (SP),74.5,15.5,11.01,553.24
Mário Campos (MG),74.99,15.3,8.81,551.93
Mariópolis (PR),73.24,15.2,8.16,694.06
Maripá de Minas (MG),75.84,14.1,11.2,510.92
Maripá (PR),76.97,10.2,3.43,781.94
Mari (PB),66.5,39.3,38.06,250.22
Marituba (PA),72.6,19.7,5.03,382.02
Marizópolis (PB),70.16,26.9,28.97,299.15
Marliéria (MG),75.29,14.9,12.1,401.74
Marmeleiro (PR),75.5,12,8.98,751.42
Marmelópolis (MG),73.36,18,11.06,367.73
Marques de Souza (RS),75.94,11.5,7.21,817.11
Marquinho (PR),73.83,14.3,15.16,366.3
Martinho Campos (MG),75.61,14.4,9.52,579.07
Martinópole (CE),70.57,24.8,33.02,232.17
Martinópolis (SP),74.93,14.8,8.53,636
Martins (RN),71.31,22.9,20.37,295.35
Martins Soares (MG),73.53,17.7,16.85,376.88
Maruim (SE),71.85,22.2,19.02,314.55
Marumbi (PR),74.54,14.2,13.93,642.72
Mar Vermelho (AL),70.97,26.4,32.46,229.81
Marzagão (GO),74.34,14.1,11.38,594.43
Mascote (BA),69.64,28.5,32.95,272.97
Massapê (CE),71.7,21.7,31.11,231.47
Massapê do Piauí (PI),68.79,31.7,46.12,195.88
Massaranduba (PB),69.8,28,33.4,247.98
Massaranduba (SC),77.04,10.9,3.66,847.63
Mata de São João (BA),74.09,16.5,12.34,451.9
Mata Grande (AL),66.09,43.6,42.12,186.87
Matão (SP),75.84,13.5,6.05,940.44
Mataraca (PB),65.49,43.3,29.34,219.95
Mata Roma (MA),71.56,24.6,30.63,161.49
Mata (RS),73.39,15,7.96,484.75
Mata Verde (MG),69.92,24.4,33.04,298.19
Mateiros (TO),74.39,15.3,28.78,307.46
Matelândia (PR),74.85,12.9,7.21,683.91
Materlândia (MG),71.16,22,24.81,255.52
Mateus Leme (MG),75.36,14.8,8.33,579.23
Mathias Lobato (MG),72.71,19.1,22.66,326.18
Matias Barbosa (MG),76.73,12.8,6.98,633.76
Matias Cardoso (MG),72.96,18.7,24.92,303
Matias Olímpio (PI),71.74,22.8,37.3,204.46
Matina (BA),69.37,29.4,34.9,227.07
Matinha (MA),68.88,33,20.3,294.51
Matinhas (PB),69.81,28,33.99,217.6
Matinhos (PR),75.04,12.7,4.47,814.03
Matipó (MG),71.8,20.8,16.11,403.48
Mato Castelhano (RS),75.34,13.1,9.96,862.71
Matões do Norte (MA),71.1,26,36.56,133.33
Matões (MA),69.34,31.5,38.79,202.66
Mato Grosso (PB),70.62,25.5,44.71,271.56
Mato Leitão (RS),76.16,11.2,3.98,708.43
Mato Queimado (RS),77.22,10,7.85,629.4
Mato Rico (PR),73.73,14.5,19.58,296.21
Matos Costa (SC),74.83,13.8,11.69,402.83
Mato Verde (MG),72.33,19.8,23.05,343.76
Matozinhos (MG),76.82,12.7,6.07,584.15
Matrinchã (GO),75.39,12.6,18.74,458.45
Matriz de Camaragibe (AL),71.62,24.5,34.16,231.82
Matupá (MT),74.46,16.2,9.81,649.23
Maturéia (PB),68.79,31.2,31.01,230.63
Matutina (MG),76.53,13.1,12.39,820.03
Mauá da Serra (PR),72.56,16.2,14.22,487.69
Mauá (SP),76.13,13.06,4.16,709.25
Maués (AM),72.97,17.7,11.23,244.3
Maurilândia do Tocantins (TO),68.43,31.6,25.49,233.68
Maurilândia (GO),74.4,14,16.03,557.51
Mauriti (CE),71.32,22.7,32.16,236.11
Maxaranguape (RN),70.83,24.2,23.7,298.87
Maximiliano de Almeida (RS),74.48,13.5,9.33,620.58
Mazagão (AP),70.46,23.3,23.69,353.61
Medeiros (MG),76.04,13.8,6.4,715.52
Medeiros Neto (BA),71.61,22.7,25.91,392.49
Medianeira (PR),75.96,11.5,5.76,914.67
Medicilândia (PA),72.99,18.7,20.02,345.44
Medina (MG),74.27,16.5,24.35,388.82
Meleiro (SC),73.5,15.8,5.74,768.23
Melgaço (PA),71.57,22.4,39.7,135.21
Mendes Pimentel (MG),71.09,22.1,26.08,372.96
Mendes (RJ),73.36,16.4,5.74,649.4
Mendonça (SP),76.78,12.1,7.27,707.36
Mercedes (PR),75.57,12,4.53,657.38
Mercês (MG),74.85,15.6,15,561.75
Meridiano (SP),74.04,16.2,9.57,694.38
Meruoca (CE),70.68,24.5,20.51,258.78
Mesópolis (SP),75.84,13.5,14.58,530.46
Mesquita (MG),72.76,19,20.37,424.12
Mesquita (RJ),75.31,13.97,3.6,640.37
Messias (AL),67.82,36.9,32.42,256.45
Messias Targino (RN),71.71,21.8,34.45,350.8
Miguel Alves (PI),69.5,29.4,41.47,220.05
Miguel Calmon (BA),69.69,28.4,22.13,279.05
Miguel Leão (PI),71.89,22.4,31.16,294.48
Miguelópolis (SP),76.78,12.1,10.41,670.82
Miguel Pereira (RJ),74.68,14.5,7.21,801.63
Milagres (BA),72.32,20.8,24.05,313.88
Milagres (CE),71.61,21.9,31,261.96
Milagres do Maranhão (MA),70.85,26.7,38.39,144.42
Milhã (CE),72.01,20.9,31.14,260.95
Milton Brandão (PI),71.29,24,41.31,154.73
Mimoso de Goiás (GO),74.47,13.9,20.16,474.44
Mimoso do Sul (ES),74.64,14.6,13.55,523.04
Minaçu (GO),73.18,17.7,14.58,590.7
Minador do Negrão (AL),71,26.4,47.38,231.37
Minas do Leão (RS),74.55,13.4,10.86,815.23
Minas Novas (MG),73.14,18.4,25.52,334.06
Minduri (MG),73.32,18,8.69,404.95
Mineiros do Tietê (SP),74.39,15.7,7.86,700.24
Mineiros (GO),75.41,12.6,8.07,869.04
Ministro Andreazza (RO),71.55,21.6,13.93,448.38
Mirabela (MG),72.61,19.3,18.91,326.06
Miracatu (SP),73.18,17.7,11.12,442.77
Miracema do Tocantins (TO),74.17,15.8,11.97,533.46
Miracema (RJ),73.32,16.5,11.43,608.62
Mirador (MA),69.39,31.3,32.05,163.97
Mirador (PR),72.99,15.6,15.65,474.75
Miradouro (MG),74.64,15.9,14.66,443.39
Mira Estrela (SP),73.34,17.4,11.1,613.14
Miraguaí (RS),75.21,13.3,10.27,820.8
Miraíma (CE),71.7,21.7,35.31,191.56
Miraí (MG),75.19,15,12.03,493.91
Miranda do Norte (MA),70.04,29.2,22.64,245.25
Miranda (MS),71.91,23.7,13.51,424.44
Mirandiba (PE),71.12,23.7,25.31,193.86
Mirandópolis (SP),77.12,11.7,7.51,758.64
Mirangaba (BA),66.12,40.8,27.7,193.47
Miranorte (TO),73.23,17.9,14.73,410.45
Mirante (BA),68.33,32.8,32.75,208.18
Mirante da Serra (RO),72.99,18,14.71,527.79
Mirante do Paranapanema (SP),75.45,14,13.29,516.3
Miraselva (PR),76.23,11.1,10.54,600.03
Mirassolândia (SP),74.76,15.1,9.39,639.58
Mirassol D'Oeste (MT),73.95,17,12.38,718.18
Mirassol (SP),75.76,12.5,4.77,841.27
Miravânia (MG),71.88,20.6,28.17,235.64
Mirim Doce (SC),74.23,14.7,8.34,560.66
Mirinzal (MA),70.33,28.3,18.25,239
Missal (PR),74.66,14,5.97,678.96
Missão Velha (CE),70.21,25.9,30.3,293.16
Mocajuba (PA),70.21,26.2,11.89,229.18
Mococa (SP),74.63,15.3,6.15,881.99
Modelo (SC),78.17,9.5,7.11,858.23
Moeda (MG),73.01,18.6,8.74,477.77
Moema (MG),75.87,14,6.91,634.04
Mogeiro (PB),68.94,30.7,35.2,227.05
Mogi das Cruzes (SP),76.07,12.23,4.15,916.81
Mogi Guaçu (SP),76.1,13.41,4.53,802.19
Mogi Mirim (SP),77.74,10.53,4.64,945.62
Moiporá (GO),74.05,14.5,16.65,461.94
Moita Bonita (SE),72.53,20.4,28.39,326.89
Moju (PA),70.44,25.6,20.36,291.67
Mombaça (CE),69.09,29.3,36.65,243.85
Mombuca (SP),74.18,16,9.87,832.07
Monção (MA),67.23,39,30.04,178.1
Monções (SP),73.81,16.6,9.27,755.2
Mondaí (SC),77.52,10.3,4.82,741.84
Mongaguá (SP),76.24,12.9,5.06,699.73
Monjolos (MG),74.16,16.7,17.29,360.58
Monsenhor Gil (PI),71.87,22.4,26.58,273.95
Monsenhor Hipólito (PI),69.36,29.8,36.9,315.6
Monsenhor Paulo (MG),75.32,14.8,11.9,555.78
Monsenhor Tabosa (CE),71.37,22.6,32.33,237.18
Montadas (PB),69.85,27.8,27.27,238.17
Montalvânia (MG),72.96,18.7,23.8,305.88
Montanha (ES),73.96,15.5,18.68,547.46
Montanhas (RN),67.02,36.5,32.82,249.75
Montauri (RS),76.11,11.3,6.8,1091.01
Monte Alegre de Goiás (GO),73.95,14.6,26.79,317.66
Monte Alegre de Minas (MG),75.86,14,12.04,619.1
Monte Alegre de Sergipe (SE),68.54,32.3,36.8,229.3
Monte Alegre do Piauí (PI),71.1,24.6,26.18,217.23
Monte Alegre dos Campos (RS),74.29,13.7,11.83,508.71
Monte Alegre do Sul (SP),76.5,11.6,6.16,861.61
Monte Alegre (PA),70.86,24.4,15.72,231.65
Monte Alegre (RN),71.18,23.3,31.08,292.15
Monte Alto (SP),76.56,12.4,5.45,832.6
Monte Aprazível (SP),76.64,11.4,6.03,1032.05
Monte Azul (MG),73.63,17.5,24.34,358.13
Monte Azul Paulista (SP),75.56,12.8,8.48,765.11
Monte Belo do Sul (RS),76.13,11.3,2.47,861.81
Monte Belo (MG),75.82,14.1,11.38,539.84
Monte Carlo (SC),73.23,16.2,13.56,449.82
Monte Carmelo (MG),77.1,12.3,8.09,689.45
Monte Castelo (SC),74.58,14.2,7.79,432.84
Monte Castelo (SP),73.81,16.6,12.58,646.15
Monte das Gameleiras (RN),70.14,26.2,33.15,261.41
Monte do Carmo (TO),73.49,17.3,21.34,351.96
Monte Formoso (MG),70.92,22.4,31.94,206.62
Monte Horebe (PB),70.29,26.5,31.85,292.96
Monteiro Lobato (SP),74.53,15.5,11.22,593.95
Monteiro (PB),67.51,35.6,29.32,392.05
Monteirópolis (AL),67.57,37.8,40.81,176.62
Monte Mor (SP),76.78,12.2,7.49,674.23
Monte Negro (RO),70.71,23.9,15.74,443.85
Montenegro (RS),76.94,11,3.94,914.23
Montes Altos (MA),68.91,33,21.44,221.57
Monte Santo (BA),66.96,37.6,38.64,197.43
Monte Santo de Minas (MG),77.46,11.8,13.43,584.09
Monte Santo do Tocantins (TO),70.6,24.8,17.59,280.98
Montes Claros de Goiás (GO),73.36,15.5,12.62,637.58
Montes Claros (MG),77.07,13.04,6.64,650.62
Monte Sião (MG),77.69,11.5,7.6,760.69
Montezuma (MG),73.55,17.6,24.67,308.78
Montividiu do Norte (GO),73.95,14.6,18.37,291.78
Montividiu (GO),74.6,13.7,10.13,791.6
Morada Nova (CE),70.47,25.1,30.38,276.36
Morada Nova de Minas (MG),74.79,15.7,9.81,577.61
Moraújo (CE),71.1,23.3,34.91,174.55
Moreilândia (PE),71.05,23.9,27.04,206.11
Moreira Sales (PR),73.12,16.4,16.83,528.33
Moreno (PE),73.28,18.1,17.91,356.7
Mormaço (RS),76.59,10.7,10.75,775.77
Morpará (BA),68.9,30.9,29.92,224.53
Morretes (PR),75.22,12.4,7.24,665.51
Morrinhos (CE),70.57,24.8,30.81,208.9
Morrinhos do Sul (RS),75.51,12.1,9.19,705.78
Morrinhos (GO),76.69,12.3,8.55,792.66
Morro Agudo de Goiás (GO),74.58,13.8,14.34,441.44
Morro Agudo (SP),75.15,14.5,8.96,687.37
Morro Cabeça no Tempo (PI),71.46,23.6,27.7,150.52
Morro da Fumaça (SC),74.51,14.3,5.7,759.25
Morro da Garça (MG),73.97,17,11.45,376.88
Morro do Chapéu (BA),70.98,24.5,23.91,250.88
Morro do Chapéu do Piauí (PI),69.5,29.4,39.09,225.37
Morro do Pilar (MG),73.55,17.6,25.39,382.62
Morro Grande (SC),75.8,12.5,6.44,809.37
Morro Redondo (RS),76.84,10.4,9.47,701.43
Morro Reuter (RS),76.5,11.6,1.08,767.55
Morros (MA),67.34,38.6,32.88,164.07
Mortugaba (BA),71.28,23.6,28.53,330.3
Morungaba (SP),73.1,17.8,6.04,733.72
Mossâmedes (GO),73.66,15.1,15.76,607.34
Mossoró (RN),73.64,17.91,14.67,600.28
Mostardas (RS),75.94,11.5,11.97,627.16
Motuca (SP),76.51,12.5,8.01,567.17
Mozarlândia (GO),74.51,13.8,14.11,562.97
Muaná (PA),71.51,22.5,14.15,230.14
Mucajaí (RR),73.79,15.5,18.62,487.66
Mucambo (CE),68.91,29.8,34.62,269.65
Mucugê (BA),72.2,21.2,21.29,312.35
Muçum (RS),75.38,13,4.67,887.43
Mucuri (BA),73.05,19,19.89,546.41
Mucurici (ES),74.7,14.5,21.36,372.63
Muitos Capões (RS),77.39,9.8,7.79,666.24
Muliterno (RS),73.48,14.9,7.39,799.52
Mulungu (CE),70.56,24.8,25.06,246.35
Mulungu do Morro (BA),70.18,26.8,22.18,199.94
Mulungu (PB),71.65,22.6,37.6,242.9
Mundo Novo (BA),72.43,20.6,24.89,346.89
Mundo Novo (GO),73.73,15,22.54,434.73
Mundo Novo (MS),73.48,20.6,12.65,652.56
Munhoz de Melo (PR),76.34,11,11.47,637.77
Munhoz (MG),74.25,16.5,11.15,412.79
Muniz Ferreira (BA),70.64,25.5,24.09,297.78
