;NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_COR_RACA;TP_ESCOLA;SG_UF_PROVA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;Q001;Q002;Q006;Q012;Q019;Q025
138;210059616414;2023;11;F;Parda;Não Respondeu;BA;;;;;;E;E;B;Sim, uma;Sim, uma;Sim
139;210058367056;2023;1;F;Parda;Não Respondeu;GO;426.4;403.2;332.9;450.7;400.0;E;C;B;Sim, uma;Sim, uma;Sim
140;210060652656;2023;14;F;Branca;Não Respondeu;MA;;;;;;A;A;B;Sim, uma;Não;Não
141;210058777410;2023;2;M;Parda;Pública;MA;568.5;557.4;563.5;585.5;640.0;E;E;B;Sim, uma;Sim, uma;Sim
142;210060451578;2023;4;F;Branca;Não Respondeu;CE;;357.4;390.5;;500.0;D;E;C;Sim, uma;Sim, duas;Sim
143;210059669474;2023;2;M;Branca;Pública;CE;419.4;391.4;428.1;381.9;860.0;F;F;C;Sim, uma;Sim, uma;Sim
144;210060548319;2023;7;M;Preta;Não Respondeu;MG;;;;;;C;E;D;Sim, uma;Sim, uma;Sim
145;210061989488;2023;1;F;Branca;Não Respondeu;PR;500.0;581.9;536.6;600.4;540.0;F;G;M;Sim, três;Sim, três;Sim
146;210061239129;2023;1;M;Branca;Não Respondeu;MG;478.6;507.8;496.2;563.7;660.0;F;F;G;Sim, uma;Sim, duas;Sim
147;210061058085;2023;5;M;Branca;Não Respondeu;PB;506.3;462.2;533.0;475.4;680.0;H;D;D;Sim, duas;Não;Sim
148;210060711788;2023;1;M;Parda;Não Respondeu;BA;593.4;558.9;562.3;597.6;560.0;E;F;I;Sim, uma;Sim, duas;Sim
149;210061859014;2023;2;M;Branca;Pública;MG;433.7;476.4;415.1;382.2;520.0;B;E;C;Sim, uma;Sim, uma;Sim
150;210059349606;2023;3;F;Branca;Não Respondeu;MG;618.5;604.1;555.6;772.0;960.0;E;E;I;Sim, uma;Sim, uma;Sim
151;210058875806;2023;1;F;Branca;Não Respondeu;MG;562.4;545.4;559.4;636.3;820.0;G;E;G;Sim, uma;Sim, uma;Sim
152;210059126517;2023;7;F;Branca;Não Respondeu;MA;;;;;;A;B;B;Sim, uma;Sim, uma;Não
